avg_home_value,City,Year,median_income
373984.08,Madison,2023,82838
396953.17,Madison,2024,90999
456010.00,Maple Bluff,2015,65202
482583.83,Maple Bluff,2016,70796
509470.92,Maple Bluff,2017,72268
537800.83,Maple Bluff,2018,71582
573744.42,Maple Bluff,2019,77504
601189.08,Maple Bluff,2020,75179
703065.67,Maple Bluff,2021,77221
792040.42,Maple Bluff,2022,84831
856951.17,Maple Bluff,2023,82838
907281.75,Maple Bluff,2024,90999
167185.33,Marshall,2015,65202
178484.08,Marshall,2016,70796
193182.33,Marshall,2017,72268
207271.25,Marshall,2018,71582
220825.17,Marshall,2019,77504
237631.00,Marshall,2020,75179
268334.50,Marshall,2021,77221
295301.83,Marshall,2022,84831
317328.67,Marshall,2023,82838
338450.00,Marshall,2024,90999
211536.25,Mazomanie,2015,65202
223111.17,Mazomanie,2016,70796
236051.00,Mazomanie,2017,72268
247921.08,Mazomanie,2018,71582
257400.92,Mazomanie,2019,77504
274491.08,Mazomanie,2020,75179
302076.67,Mazomanie,2021,77221
328936.58,Mazomanie,2022,84831
347968.17,Mazomanie,2023,82838
357286.50,Mazomanie,2024,90999
258910.58,McFarland,2015,65202
275275.08,McFarland,2016,70796
292723.58,McFarland,2017,72268
311184.58,McFarland,2018,71582
322235.58,McFarland,2019,77504
339837.58,McFarland,2020,75179
376374.75,McFarland,2021,77221
412944.50,McFarland,2022,84831
433760.33,McFarland,2023,82838
454817.25,McFarland,2024,90999
267763.33,Medina,2015,65202
283990.92,Medina,2016,70796
295781.33,Medina,2017,72268
309432.50,Medina,2018,71582
325642.67,Medina,2019,77504
341258.00,Medina,2020,75179
379488.00,Medina,2021,77221
413931.92,Medina,2022,84831
444779.17,Medina,2023,82838
471270.75,Medina,2024,90999
320537.92,Middleton,2015,65202
338896.58,Middleton,2016,70796
350324.50,Middleton,2017,72268
361564.17,Middleton,2018,71582
384965.08,Middleton,2019,77504
404034.00,Middleton,2020,75179
443596.75,Middleton,2021,77221
487369.83,Middleton,2022,84831
527440.08,Middleton,2023,82838
556797.17,Middleton,2024,90999
214842.17,Monona,2015,65202
231620.92,Monona,2016,70796
251637.42,Monona,2017,72268
268899.17,Monona,2018,71582
283671.00,Monona,2019,77504
303700.58,Monona,2020,75179
340438.08,Monona,2021,77221
371226.33,Monona,2022,84831
399160.92,Monona,2023,82838
429651.42,Monona,2024,90999
261775.50,Montrose,2015,65202
280921.33,Montrose,2016,70796
295810.75,Montrose,2017,72268
307193.92,Montrose,2018,71582
320870.67,Montrose,2019,77504
337594.58,Montrose,2020,75179
377352.67,Montrose,2021,77221
416096.50,Montrose,2022,84831
435926.33,Montrose,2023,82838
446970.08,Montrose,2024,90999
245123.00,Oregon,2015,65202
260881.08,Oregon,2016,70796
277564.17,Oregon,2017,72268
292347.75,Oregon,2018,71582
305231.50,Oregon,2019,77504
323558.17,Oregon,2020,75179
359440.58,Oregon,2021,77221
397977.33,Oregon,2022,84831
423558.00,Oregon,2023,82838
451092.00,Oregon,2024,90999
284024.42,Roxbury,2015,65202
301294.00,Roxbury,2016,70796
315283.75,Roxbury,2017,72268
325928.67,Roxbury,2018,71582
345033.92,Roxbury,2019,77504
365624.50,Roxbury,2020,75179
403646.75,Roxbury,2021,77221
444511.08,Roxbury,2022,84831
492462.67,Roxbury,2023,82838
518628.58,Roxbury,2024,90999
534144.67,Shorewood Hills,2015,65202
550643.08,Shorewood Hills,2016,70796
567786.75,Shorewood Hills,2017,72268
603813.75,Shorewood Hills,2018,71582
619615.92,Shorewood Hills,2019,77504
646767.92,Shorewood Hills,2020,75179
722867.17,Shorewood Hills,2021,77221
812438.83,Shorewood Hills,2022,84831
887130.17,Shorewood Hills,2023,82838
973658.58,Shorewood Hills,2024,90999
350274.42,Springdale,2015,65202
366844.75,Springdale,2016,70796
377311.17,Springdale,2017,72268
393535.00,Springdale,2018,71582
410223.08,Springdale,2019,77504
426875.58,Springdale,2020,75179
477541.58,Springdale,2021,77221
524627.83,Springdale,2022,84831
541678.50,Springdale,2023,82838
570057.25,Springdale,2024,90999
376312.42,Springfield,2015,65202
394388.83,Springfield,2016,70796
407085.50,Springfield,2017,72268
421198.58,Springfield,2018,71582
441334.00,Springfield,2019,77504
462603.42,Springfield,2020,75179
513817.67,Springfield,2021,77221
569337.25,Springfield,2022,84831
608743.33,Springfield,2023,82838
632937.25,Springfield,2024,90999
205687.08,Stoughton,2015,65202
219315.00,Stoughton,2016,70796
235549.17,Stoughton,2017,72268
253294.67,Stoughton,2018,71582
265100.50,Stoughton,2019,77504
280289.42,Stoughton,2020,75179
313932.50,Stoughton,2021,77221
346420.17,Stoughton,2022,84831
366295.83,Stoughton,2023,82838
386845.08,Stoughton,2024,90999
219777.33,Sun Prairie,2015,65202
238421.33,Sun Prairie,2016,70796
254731.58,Sun Prairie,2017,72268
270063.42,Sun Prairie,2018,71582
279696.75,Sun Prairie,2019,77504
294144.83,Sun Prairie,2020,75179
328940.75,Sun Prairie,2021,77221
362932.42,Sun Prairie,2022,84831
380889.33,Sun Prairie,2023,82838
402892.08,Sun Prairie,2024,90999
407151.27,Vermont,2017,72268
433896.67,Vermont,2018,71582
451464.83,Vermont,2019,77504
487201.67,Vermont,2020,75179
555850.75,Vermont,2021,77221
615849.58,Vermont,2022,84831
648574.67,Vermont,2023,82838
673389.33,Vermont,2024,90999
318989.33,Verona,2015,65202
334542.33,Verona,2016,70796
350651.75,Verona,2017,72268
366652.75,Verona,2018,71582
382266.67,Verona,2019,77504
402262.75,Verona,2020,75179
448012.33,Verona,2021,77221
495128.33,Verona,2022,84831
524404.50,Verona,2023,82838
562034.67,Verona,2024,90999
322644.25,Vienna,2015,65202
343231.00,Vienna,2016,70796
355377.92,Vienna,2017,72268
373532.83,Vienna,2018,71582
390622.00,Vienna,2019,77504
433410.25,Vienna,2020,75179
482074.92,Vienna,2021,77221
520919.42,Vienna,2022,84831
545420.08,Vienna,2023,82838
560555.17,Vienna,2024,90999
300810.42,Waunakee,2015,65202
318552.08,Waunakee,2016,70796
337648.25,Waunakee,2017,72268
354575.08,Waunakee,2018,71582
370619.58,Waunakee,2019,77504
388091.42,Waunakee,2020,75179
425715.42,Waunakee,2021,77221
471039.50,Waunakee,2022,84831
498061.00,Waunakee,2023,82838
531113.08,Waunakee,2024,90999
252903.00,Windsor,2015,65202
271128.25,Windsor,2016,70796
287773.42,Windsor,2017,72268
311684.08,Windsor,2018,71582
323244.17,Windsor,2019,77504
338396.83,Windsor,2020,75179
376390.25,Windsor,2021,77221
413476.58,Windsor,2022,84831
438947.58,Windsor,2023,82838
470748.25,Windsor,2024,90999
